Magnet,Start,Duration,Type,RunID
3T,651.5958904116316,2.1920669989398047,exit,1
3T,653.7879574105714,1.6874965557199162,flip,1
1.5T,721.4967939799224,2.0,handover,1
1.5T,723.4967939799224,4.881834885200211,setup,1
3T,751.0299444147608,2.0,handover,1
3T,753.0299444147608,4.362820817828208,setup,1
3T,757.392765232589,21.006132723384468,scan,1
1.5T,728.3786288651226,50.72463991882411,scan,1
1.5T,779.1032687839466,1.2866291594246504,exit,1
1.5T,780.3898979433714,1.0931632602694883,flip,1
3T,778.3988979559734,3.159404618033852,exit,1
3T,781.5583025740073,1.70175394249434,flip,1
1.5T,781.4830612036409,2.0,handover,1
3T,783.2600565165015,2.0,handover,1
1.5T,783.4830612036409,5.22036435089651,setup,1
3T,785.2600565165015,5.2705192828840595,setup,1
1.5T,788.7034255545373,22.833612329279447,scan,1
1.5T,811.5370378838168,0.8656960835044661,exit,1
3T,790.5305757993856,23.050067080763903,scan,1
1.5T,812.4027339673212,1.6651864823789642,flip,1
3T,813.5806428801495,0.7815475378739514,exit,1
3T,814.3621904180235,1.350163337551965,flip,1
1.5T,814.0679204497002,2.0,handover,1
3T,817.5246651973088,2.0,handover,1
1.5T,816.0679204497002,5.007240028115607,setup,1
3T,819.5246651973088,2.9127579816978333,setup,1
1.5T,821.0751604778158,24.316815915165456,scan,1
3T,822.4374231790066,23.07146113142973,scan,1
1.5T,845.3919763929812,3.068640763892389,exit,1
3T,845.5088843104363,3.1780288610055956,exit,1
1.5T,848.4606171568736,1.244197362621398,flip,1
3T,849.704814519495,1.529673652319945,flip,1
1.5T,849.704814519495,2.0,handover,1
1.5T,851.704814519495,4.097821990037747,setup,1
3T,856.0425563743023,2.0,handover,1
3T,858.0425563743023,4.689963335900426,setup,1
1.5T,855.8026365095328,27.233175028297282,scan,1
1.5T,883.0358115378301,1.1726130722524295,exit,1
1.5T,884.2084246100825,1.72981653282157,flip,1
3T,862.7325197102027,50.773296670444836,scan,1
3T,913.5058163806475,1.7208154663883923,exit,1
3T,915.226631847036,1.5538565785123906,flip,1
1.5T,922.0328170209673,2.0,handover,1
3T,925.5460672805123,2.0,handover,1
1.5T,924.0328170209673,5.308658581365723,setup,1
3T,927.5460672805123,3.6002574975788395,setup,1
3T,931.1463247780911,20.328454184091935,scan,1
1.5T,929.341475602333,22.98183656541604,scan,1
3T,951.474778962183,2.063260408501245,exit,1
1.5T,952.3233121677491,1.4576873991027388,exit,1
3T,953.5380393706843,1.4981564689731675,flip,1
1.5T,955.0361958396575,1.5482809477763606,flip,1
3T,955.0361958396575,2.0,handover,1
3T,0.0,2.398496626224988,flip,2
1.5T,9.19293348460883,2.0,handover,2
1.5T,11.19293348460883,4.438883284719978,setup,2
1.5T,15.631816769328807,21.64486321204046,scan,2
1.5T,37.27667998136927,3.076866297685141,exit,2
1.5T,40.35354627905441,2.3014897695754892,flip,2
3T,123.08604733457412,2.0,handover,2
3T,125.08604733457412,3.790725839638133,setup,2
1.5T,130.0786592656097,2.0,handover,2
1.5T,132.0786592656097,4.096196529021419,setup,2
3T,128.87677317421225,25.15122644453979,scan,2
3T,154.02799961875203,3.067316186885497,exit,2
3T,157.09531580563754,1.6036500249737724,flip,2
1.5T,136.17485579463113,23.554245632079013,scan,2
3T,158.69896583061131,2.0,handover,2
1.5T,159.72910142671014,2.603270145782557,exit,2
